AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
0,0,0,0,0,0,0,0,27,5,14,13,0,8,12,13,13,0,0,0,0,0.57,0,0,0,0
0,0,0,0,0,0,0,0,41,5,6,5,0,30,4,5,5,0,0,0,0,5.0,0,0,0,0
2,2,2,1,14,1,12,0,465,64,364,111,199,41,191,261,86,175,8,6,8,0.11,59,55,67,24
0,0,0,0,0,0,0,0,6,0,6,5,0,0,4,5,5,0,0,0,0,0.0,0,0,0,0
0,0,0,0,0,0,0,0,3,0,3,2,0,0,1,2,2,0,0,0,0,0.0,0,0,0,0
5,5,5,2,31,4,25,2,390,64,263,57,166,67,151,214,56,158,20,20,20,0.25,50,50,51,24
6,6,6,1,24,3,19,1,77,12,61,13,36,4,34,51,10,41,15,15,17,0.07,18,18,20,3
3,3,4,1,17,2,14,0,281,45,223,57,125,14,113,170,52,118,9,9,13,0.06,41,41,49,17
1,1,1,1,3,0,3,0,7,2,5,3,1,0,2,3,2,1,1,1,1,0.0,1,1,1,1
5,5,5,2,41,5,34,1,323,51,264,68,161,9,146,193,53,140,16,16,16,0.03,40,40,41,19
7,7,11,1,21,3,17,0,180,31,129,34,85,20,69,117,27,90,19,19,31,0.16,47,47,71,6
4,2,4,1,14,1,13,0,366,57,203,58,104,106,104,134,51,83,30,12,30,0.52,59,41,61,17
2,2,2,1,15,2,10,2,122,25,83,30,40,14,43,61,23,38,4,4,4,0.17,14,14,14,6
3,3,3,1,40,8,32,0,135,31,104,22,71,1,78,91,23,68,9,9,9,0.01,11,11,11,3
2,2,2,1,16,3,13,0,42,10,32,16,12,0,21,25,13,12,3,3,3,0.0,4,4,4,2
2,2,2,1,20,2,15,2,167,26,108,37,56,34,69,84,36,48,4,4,4,0.31,12,12,12,6
3,2,3,1,16,1,14,0,374,53,282,78,159,41,154,211,61,150,7,7,8,0.15,51,48,56,19
1,1,1,1,5,0,5,0,146,3,141,41,64,2,64,106,40,66,6,6,7,0.01,41,41,42,23
5,4,5,1,18,1,15,2,189,26,133,31,84,30,72,105,25,80,14,10,15,0.23,38,28,39,13
3,3,3,1,15,1,12,0,157,27,121,32,67,9,64,97,26,71,5,5,6,0.07,27,27,29,11
2,2,3,1,11,0,9,1,215,28,98,27,51,96,50,67,25,42,10,10,16,0.98,23,23,29,13
4,4,4,1,29,2,26,1,566,59,477,108,293,30,266,369,109,260,8,8,9,0.06,71,70,73,25
1,1,1,1,3,0,3,0,25,1,24,22,1,0,21,23,22,1,1,1,1,0.0,1,1,1,1
1,1,1,1,3,0,3,0,35,7,28,14,7,0,13,17,10,7,1,1,1,0.0,6,6,6,6
2,2,3,2,18,1,16,0,224,31,193,35,89,0,83,110,29,81,10,10,10,0.0,31,31,33,25
1,1,1,1,41,4,29,8,44,4,32,12,18,8,23,27,13,14,1,1,1,0.25,1,1,1,1
1,1,1,1,19,2,15,2,214,36,156,55,68,23,121,133,44,89,4,4,4,0.15,13,13,13,9
0,0,0,0,0,0,0,0,157,15,17,16,0,125,15,16,16,0,0,0,0,7.35,0,0,0,0
2,2,3,1,12,0,12,0,487,44,424,102,235,19,228,331,106,225,10,10,12,0.04,97,97,102,41
6,6,6,2,33,4,27,2,953,119,631,138,402,219,370,473,137,336,18,18,20,0.35,140,139,144,54
4,4,6,1,20,1,14,6,29,4,18,9,7,8,11,16,7,9,4,4,6,0.44,4,4,6,1
1,1,1,1,10,1,8,0,46,8,30,9,15,8,15,20,8,12,2,2,2,0.27,5,5,5,3
1,1,1,1,14,1,13,0,122,12,73,17,27,38,24,35,13,22,2,2,2,0.52,5,5,5,3
1,1,1,1,4,0,4,0,11,1,10,2,2,0,2,5,3,2,1,1,1,0.0,2,2,2,2
1,1,1,1,10,2,5,2,94,26,49,20,19,19,25,34,17,17,2,2,2,0.39,8,8,8,7
1,1,1,1,7,0,7,0,22,1,9,6,1,12,3,5,4,1,1,1,1,1.33,1,1,1,1
5,5,6,1,26,2,21,3,553,81,402,91,242,80,224,320,84,236,14,14,17,0.2,82,81,90,28
7,7,7,1,50,10,38,2,63,11,41,14,22,11,25,31,13,18,7,7,7,0.27,7,7,7,1
0,0,0,0,0,0,0,0,9,2,5,4,0,2,3,4,4,0,0,0,0,0.4,0,0,0,0
