AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
1,1,1,1,5,0,5,0,9,2,7,2,3,0,3,4,1,3,1,1,1,0.0,1,1,1,1
1,1,1,1,5,0,5,0,43,5,38,16,15,0,12,18,8,10,3,2,3,0.0,7,6,7,5
1,1,1,1,7,0,7,0,17,2,15,6,7,0,10,13,6,7,1,1,1,0.0,2,2,2,2
2,2,3,1,12,0,10,1,278,24,157,44,79,99,79,113,42,71,7,7,7,0.63,34,33,38,18
1,1,1,1,5,0,5,0,9,2,7,2,3,0,3,4,1,3,1,1,1,0.0,1,1,1,1
1,1,1,1,19,0,19,0,21,1,20,4,15,0,17,19,4,15,1,1,1,0.0,1,1,1,1
2,2,2,2,8,0,8,0,113,11,85,23,41,17,41,59,19,40,10,10,13,0.2,20,20,23,18
3,3,3,1,12,0,11,0,60,7,53,17,25,0,25,39,16,23,8,8,9,0.0,13,13,15,4
1,1,1,1,10,0,10,0,70,6,64,16,42,0,16,23,10,13,1,1,1,0.0,6,6,6,6
5,5,6,1,22,0,21,0,74,6,66,13,36,2,30,44,12,32,11,11,15,0.03,16,16,20,5
3,2,3,1,18,0,16,1,604,57,489,139,278,60,293,368,124,244,9,9,12,0.12,78,71,90,32
2,2,2,1,14,2,12,0,47,9,38,16,15,0,20,27,14,13,5,5,5,0.0,7,7,7,3
1,1,1,1,5,0,5,0,48,6,41,19,14,1,15,22,10,12,3,2,3,0.02,8,7,8,6
3,2,3,2,12,0,11,1,27,0,26,5,16,2,12,16,4,12,5,3,5,0.08,6,4,6,5
1,1,1,1,7,1,6,0,11,3,8,5,1,0,4,6,5,1,1,1,1,0.0,1,1,1,1
1,1,1,1,12,0,12,2,44,5,38,13,21,9,27,31,10,21,1,1,1,0.24,3,3,3,3
2,2,2,1,7,0,7,0,27,3,17,7,5,7,9,12,7,5,3,3,4,0.41,4,4,5,2
